turn,timestamp,user_text,reply,mode,native_won,n_candidates,is_oom_recovery,is_empty_fallback,reply_has_question,score_total,score_lock,score_mem,score_coh,score_sal,score_role,score_decoded,score_tone,score_style,score_completion,score_vision,score_contradiction
1,2026-04-04T18:51:59.315890,Hello,I'm Frankie — happy to chat.,greeting_reply,False,2,False,False,False,3.7679,0.8971,0.0,0.9283,0.0011,0.0,0.0,0.75,1.0,0.7,0.0,0.0
2,2026-04-04T18:52:30.231010,"Hello frankie, I am Peter.",I think your name is Peter.,identity_self_mark,False,3,False,False,False,3.7514,0.9138,0.1017,0.9398,0.0017,0.0,0.0,0.6,0.8,0.7,0.0,0.0
3,2026-04-04T18:53:13.473198,nice to see you again too.,Good to catch up like this.,open_reply,False,5,False,False,False,3.3151,0.8945,0.0,0.9289,0.0007,0.0,0.0,0.75,0.5,0.7,0.0,0.0
4,2026-04-04T18:53:46.989633,What day is it today?,I think today is Saturday.,time_reply,True,3,False,False,False,6.5422,0.9295,0.2619,0.9409,0.0014,1.0,0.5,0.6,0.8,0.7,0.0,0.0
5,2026-04-04T18:54:48.994331,Correct. Today is Saturday. Which day of the week is your favourite?,I think today is Saturday.,time_reply,True,5,False,False,False,4.6557,0.9352,0.2618,0.936,0.0014,0.3,0.0,0.6,0.8,0.7,0.0,0.0
6,2026-04-04T19:00:06.507117,What is this an image of? = C:\Users\Peter\Pictures\Photobucket\Wales and Scotland Summer 2006,I think this is a summer snap from Wales and Scotland.,open_reply,False,5,False,False,False,3.941,0.9325,0.1838,0.9468,0.0009,0.0,0.0,0.6,0.8,0.7,0.0,0.0
7,2026-04-04T19:00:52.246316,Correct. Did you remember it from our previous chats?,I caught that one.,open_reply,False,4,False,False,False,3.5679,0.9135,0.1502,0.9322,0.0009,0.0,0.0,0.6,0.5,0.7,0.0,0.0
8,2026-04-04T19:01:47.825574,"Old vibes, fresh moment. -- I like that you said that. :)",What’s on your mind right now?,open_reply_with_question,False,5,False,False,True,3.7845,0.8865,0.2871,0.913,0.0013,0.0,0.0,0.6,0.5,0.7,0.0,0.0
9,2026-04-04T19:02:41.409456,I am chatting to you and listening to music - so that is all that is on my mind. what about you?,Right now? Just me and the sound.,identity_self_mark,False,5,False,False,True,3.865,0.8877,0.3252,0.9173,0.0016,0.0,0.0,0.6,0.5,0.7,0.0,0.0
10,2026-04-04T19:02:59.638953,What sound?,I hear it too.,open_reply,False,4,False,False,False,3.5407,0.9088,0.1426,0.9256,0.0009,0.0,0.0,0.6,0.5,0.7,0.0,0.0
11,2026-04-04T19:03:25.007942,The background hum?,I hear that hum.,open_reply,False,4,False,False,False,3.5536,0.8796,0.1744,0.9112,0.0009,0.0,0.0,0.6,0.5,0.7,0.0,0.0
12,2026-04-04T19:03:59.040314,What does it feel like?,How about you — what’s stirring?,open_reply_with_question,False,5,False,False,True,3.8065,0.8742,0.3087,0.9074,0.0013,0.0,0.0,0.6,0.5,0.7,0.0,0.0
